date,description,amount,type,balance
2025-12-11,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000064,2092.47,debit,1888065.04
2025-12-13,UPI/DR/phoneperecharge@ybl/PHONEPE PRIVATE LIMITED/REF0100000047,1889.57,debit,1886175.47
2025-12-13,POS DEBIT/MAKEMYTRIP INDIA PVT/GURGAON HR/REF0100000062,1357.10,debit,1884818.37
2025-12-15,NACH DR/HDFC0001234/BEST ELECTRIC SUPPLY UNDERTAKING/ELECT BILL DEC2025/REF0100000157,2944.75,debit,1881873.62
2025-12-16,UPI/DR/ola@hdfcbank/ANI TECHNOLOGIES PVT LTD/REF0100000055,3085.23,debit,1878788.39
2025-12-16,POS DEBIT/RELIANCE FRESH STORES/MUMBAI MH/REF0100000059,986.49,debit,1877801.90
2025-12-17,UPI/DR/zomato@icici/ZOMATO LIMITED/REF0100000045,3024.97,debit,1874776.93
2025-12-17,POS DEBIT/CROMA RETAIL INFINITI/MUMBAI MH/REF0100000052,3201.19,debit,1871575.74
2025-12-17,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000063,848.46,debit,1870727.28
2025-12-18,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000048,2406.57,debit,1868320.71
2025-12-19,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000057,2583.12,debit,1865737.59
2025-12-20,UPI/DR/airtel@icici/BHARTI AIRTEL LIMITED/REF0100000158,699.00,debit,1865038.59
2025-12-21,NEFT DR/HDFC0001234/0005678901/PRIYA SHARMA/HOME LOAN ADVANCE/REF987601,12000.00,debit,1853038.59
2025-12-25,UPI/DR/swiggy@ibl/SWIGGY ONLINE ORDERING PVT LTD/REF0100000054,2128.39,debit,1850910.20
2025-12-25,POS DEBIT/RELIANCE FRESH STORES/MUMBAI MH/REF0100000061,2518.29,debit,1848391.91
2025-12-27,POS DEBIT/RELIANCE FRESH STORES/MUMBAI MH/REF0100000056,278.10,debit,1848113.81
2025-12-27,UPI/DR/bigbasket@hdfcbank/SUPERMARKET GROCERY SUPPLIES/REF0100000058,519.10,debit,1847594.71
2025-12-28,UPI/DR/blinkit@icici/BLINKIT COMMERCE PVT LTD/REF0100000053,602.71,debit,1846992.00
2025-12-28,UPI/DR/blinkit@icici/BLINKIT COMMERCE PVT LTD/REF0100000060,3256.88,debit,1843735.12
2025-12-31,INT CR/HDFC0009876/SB INTEREST CREDIT DEC2025/REF0100000173,1842.55,credit,1845577.67
2026-01-01,NEFT CR/UTIB0001234/FLEXILOANS TECHNOLOGIES PVT LTD/SAL/JAN2026/REF0100000003,103600.12,credit,1949177.79
2026-01-01,POS DEBIT/STARBUCKS COFFEE INDIA/MUMBAI MH/REF0100000079,3248.69,debit,1945929.10
2026-01-02,UPI/DR/zomato@icici/ZOMATO LIMITED/REF0100000083,2638.08,debit,1943291.02
2026-01-02,UPI/DR/paytmmall@paytm/PAYTM E-COMMERCE PVT LTD/REF0100000084,1799.75,debit,1941491.27
2026-01-05,NACH DR/HDFC0001234/HDFC BANK LIMITED/HOME LOAN EMI JAN2026/MANDATE0001234/REF0100000009,32450.00,debit,1909041.27
2026-01-07,UPI/DR/bigbasket@hdfcbank/SUPERMARKET GROCERY SUPPLIES/REF0100000073,1522.84,debit,1907518.43
2026-01-07,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000078,643.06,debit,1906875.37
2026-01-07,UPI/DR/dream11@icici/DREAM11 GAME AND SPORTS PVT LTD/REF0100000179,2500.00,debit,1904375.37
2026-01-09,UPI/DR/amazon@apl/AMAZON SELLER SERVICES PVT LTD/REF0100000074,1595.51,debit,1902779.86
2026-01-10,ECS DR/KKBK0001234/BAJAJ FINANCE LIMITED/PERSONAL LOAN EMI JAN2026/MANDATE0005678/REF0100000015,14812.00,debit,1887967.86
2026-01-14,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000070,1677.22,debit,1886290.64
2026-01-15,NACH DR/HDFC0001234/BEST ELECTRIC SUPPLY UNDERTAKING/ELECT BILL JAN2026/REF0100000159,2516.67,debit,1883773.97
2026-01-16,UPI/DR/bigbasket@hdfcbank/SUPERMARKET GROCERY SUPPLIES/REF0100000067,2553.87,debit,1881220.10
2026-01-16,UPI/DR/bookmyshow@kotak/BIGTREE ENTERTAINMENT PVT LTD/REF0100000082,824.54,debit,1880395.56
2026-01-16,ATM NWD/HDFC0001234/HDFC BANK ATM ANDHERI WEST MUMBAI/REF0100000169,6000.00,debit,1874395.56
2026-01-18,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000076,3248.18,debit,1871147.38
2026-01-19,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000068,2763.40,debit,1868383.98
2026-01-20,UPI/DR/airtel@icici/BHARTI AIRTEL LIMITED/REF0100000160,799.00,debit,1867584.98
2026-01-22,NEFT CR/ICIC0005678/XYZ TRADING ENTERPRISES PVT LTD/PYMT INV2025001/REF987602,8000.00,credit,1875584.98
2026-01-24,UPI/DR/flipkart@yesbank/FK RETAIL PVT LTD/REF0100000071,287.30,debit,1875297.68
2026-01-24,UPI/DR/flipkart@yesbank/FK RETAIL PVT LTD/REF0100000072,930.40,debit,1874367.28
2026-01-24,POS DEBIT/CROMA RETAIL INFINITI/MUMBAI MH/REF0100000081,2343.60,debit,1872023.68
2026-01-26,UPI/DR/flipkart@yesbank/FK RETAIL PVT LTD/REF0100000069,411.50,debit,1871612.18
2026-01-26,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000080,2462.34,debit,1869149.84
2026-01-28,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000066,1032.39,debit,1868117.45
2026-01-28,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000075,253.01,debit,1867864.44
2026-01-28,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000077,1740.89,debit,1866123.55
2026-01-28,UPI/DR/zomato@icici/ZOMATO LIMITED/REF0100000085,3365.86,debit,1862757.69
2026-02-01,NEFT CR/UTIB0001234/FLEXILOANS TECHNOLOGIES PVT LTD/SAL/FEB2026/REF0100000004,103392.84,credit,1966150.53
2026-02-02,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000088,2328.22,debit,1963822.31
2026-02-05,NACH DR/HDFC0001234/HDFC BANK LIMITED/HOME LOAN EMI FEB2026/MANDATE0001234/REF0100000010,32450.00,debit,1931372.31
2026-02-05,UPI/DR/flipkart@yesbank/FK RETAIL PVT LTD/REF0100000099,2619.07,debit,1928753.24
2026-02-05,UPI/DR/blinkit@icici/BLINKIT COMMERCE PVT LTD/REF0100000100,2534.23,debit,1926219.01
2026-02-06,POS DEBIT/CROMA RETAIL INFINITI/MUMBAI MH/REF0100000105,2493.38,debit,1923725.63
2026-02-07,UPI/DR/myntra@hdfcbank/MYNTRA DESIGNS PVT LTD/REF0100000101,1808.50,debit,1921917.13
2026-02-08,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000087,2059.90,debit,1919857.23
2026-02-08,UPI/DR/dunzo@kotak/DUNZO DIGITAL PVT LTD/REF0100000095,1578.59,debit,1918278.64
2026-02-09,POS DEBIT/LENSKART SOLUTIONS/BENGALURU KA/REF0100000102,253.73,debit,1918024.91
2026-02-10,ECS DR/KKBK0001234/BAJAJ FINANCE LIMITED/PERSONAL LOAN EMI FEB2026/MANDATE0005678/REF0100000016,14812.00,debit,1903212.91
2026-02-11,POS DEBIT/MAKEMYTRIP INDIA PVT/GURGAON HR/REF0100000104,3430.91,debit,1899782.00
2026-02-11,ATM NWD/HDFC0001234/HDFC BANK ATM ANDHERI WEST MUMBAI/REF0100000170,6000.00,debit,1893782.00
2026-02-12,NEFT DR/HDFC0001234/0000998877/ALPHA TRADING CO/BUSINESS TRF/REF0100000175,100000.00,debit,1793782.00
2026-02-13,NEFT DR/HDFC0001234/0009871234/TUSHAR VERMA/STUDY ABROAD FEE/REF987603,35000.00,debit,1758782.00
2026-02-14,NEFT DR/HDFC0001234/0000776655/GAMMA ENTERPRISES PVT LTD/ADVANCE/REF0100000176,99750.00,debit,1659032.00
2026-02-15,NACH DR/HDFC0001234/BEST ELECTRIC SUPPLY UNDERTAKING/ELECT BILL FEB2026/REF0100000161,3848.28,debit,1655183.72
2026-02-15,NEFT CR/ICIC0005678/GAMMA ENTERPRISES PVT LTD/REFUND/REF0100000177,99500.00,credit,1754683.72
2026-02-17,UPI/DR/ola@hdfcbank/ANI TECHNOLOGIES PVT LTD/REF0100000094,3092.56,debit,1751591.16
2026-02-18,POS DEBIT/CROMA RETAIL INFINITI/MUMBAI MH/REF0100000096,3444.78,debit,1748146.38
2026-02-18,UPI/DR/flipkart@yesbank/FK RETAIL PVT LTD/REF0100000098,3291.14,debit,1744855.24
2026-02-18,NEFT CR/HDFC0001234/ALPHA TRADING CO/RETURN FUNDS/REF0100000178,100000.00,credit,1844855.24
2026-02-19,UPI/DR/myntra@hdfcbank/MYNTRA DESIGNS PVT LTD/REF0100000089,778.57,debit,1844076.67
2026-02-19,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000093,1918.71,debit,1842157.96
2026-02-20,UPI/DR/airtel@icici/BHARTI AIRTEL LIMITED/REF0100000162,799.00,debit,1841358.96
2026-02-21,UPI/DR/myntra@hdfcbank/MYNTRA DESIGNS PVT LTD/REF0100000103,230.78,debit,1841128.18
2026-02-22,UPI/DR/phoneperecharge@ybl/PHONEPE PRIVATE LIMITED/REF0100000091,1161.33,debit,1839966.85
2026-02-23,UPI/DR/myntra@hdfcbank/MYNTRA DESIGNS PVT LTD/REF0100000090,1433.59,debit,1838533.26
2026-02-25,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000092,1647.34,debit,1836885.92
2026-02-26,UPI/DR/swiggy@ibl/SWIGGY ONLINE ORDERING PVT LTD/REF0100000097,2364.09,debit,1834521.83
2026-02-28,UPI/DR/amazon@apl/AMAZON SELLER SERVICES PVT LTD/REF0100000086,2389.23,debit,1832132.60
2026-03-01,NEFT CR/UTIB0001234/FLEXILOANS TECHNOLOGIES PVT LTD/SAL/MAR2026/REF0100000005,105445.88,credit,1937578.48
2026-03-01,UPI/DR/bigbasket@hdfcbank/SUPERMARKET GROCERY SUPPLIES/REF0100000106,1945.92,debit,1935632.56
2026-03-01,UPI/DR/blinkit@icici/BLINKIT COMMERCE PVT LTD/REF0100000125,1325.64,debit,1934306.92
2026-03-02,UPI/DR/zomato@icici/ZOMATO LIMITED/REF0100000108,3154.32,debit,1931152.60
2026-03-03,POS DEBIT/STARBUCKS COFFEE INDIA/MUMBAI MH/REF0100000119,1280.92,debit,1929871.68
2026-03-03,POS DEBIT/STARBUCKS COFFEE INDIA/MUMBAI MH/REF0100000126,2211.19,debit,1927660.49
2026-03-04,POS DEBIT/STARBUCKS COFFEE INDIA/MUMBAI MH/REF0100000121,690.70,debit,1926969.79
2026-03-05,NACH DR/HDFC0001234/HDFC BANK LIMITED/HOME LOAN EMI MAR2026/MANDATE0001234/REF0100000011,32450.00,debit,1894519.79
2026-03-07,UPI/DR/flipkart@yesbank/FK RETAIL PVT LTD/REF0100000109,1289.58,debit,1893230.21
2026-03-09,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000122,1262.25,debit,1891967.96
2026-03-10,ECS DR/KKBK0001234/BAJAJ FINANCE LIMITED/PERSONAL LOAN EMI MAR2026/MANDATE0005678/REF0100000017,14812.00,debit,1877155.96
2026-03-10,ATM NWD/HDFC0001234/HDFC BANK ATM ANDHERI WEST MUMBAI/REF0100000171,8000.00,debit,1869155.96
2026-03-11,RETURN/MANDATE0001234/HDFC BANK LIMITED/INSUFF FUNDS/FEB2026/REF0100000020,590.00,debit,1868565.96
2026-03-14,UPI/DR/insurancepremium@hdfcbank/HDFC ERGO GENERAL INSURANCE CO,35000.00,debit,1833565.96
2026-03-15,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000117,842.40,debit,1832723.56
2026-03-15,NACH DR/HDFC0001234/BEST ELECTRIC SUPPLY UNDERTAKING/ELECT BILL MAR2026/REF0100000163,3091.73,debit,1829631.83
2026-03-15,IMPS/REF0100000182/MATRIX POLYTECH PVT LTD/HDFC0001234,354000.00,credit,2183631.83
2026-03-17,UPI/DR/uber@indus/UBER INDIA SYSTEMS PVT LTD/REF0100000120,3292.19,debit,2180339.64
2026-03-17,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000128,1195.55,debit,2179144.09
2026-03-18,POS DEBIT/SHOPPERS STOP LIMITED/MUMBAI MH/REF0100000110,3410.52,debit,2175733.57
2026-03-19,UPI/DR/zomato@icici/ZOMATO LIMITED/REF0100000124,2504.05,debit,2173229.52
2026-03-20,UPI/DR/airtel@icici/BHARTI AIRTEL LIMITED/REF0100000164,599.00,debit,2172630.52
2026-03-22,UPI/DR/uber@indus/UBER INDIA SYSTEMS PVT LTD/REF0100000118,1032.82,debit,2171597.70
2026-03-22,POS DEBIT/MAKEMYTRIP INDIA PVT/GURGAON HR/REF0100000127,3158.16,debit,2168439.54
2026-03-23,UPI/DR/bigbasket@hdfcbank/SUPERMARKET GROCERY SUPPLIES/REF0100000129,736.09,debit,2167703.45
2026-03-24,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000111,3036.95,debit,2164666.50
2026-03-24,POS DEBIT/LENSKART SOLUTIONS/BENGALURU KA/REF0100000113,3263.39,debit,2161403.11
2026-03-26,POS DEBIT/SHOPPERS STOP LIMITED/MUMBAI MH/REF0100000112,164.77,debit,2161238.34
2026-03-26,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000114,992.48,debit,2160245.86
2026-03-26,POS DEBIT/SHOPPERS STOP LIMITED/MUMBAI MH/REF0100000115,3062.81,debit,2157183.05
2026-03-26,UPI/DR/flipkart@yesbank/FK RETAIL PVT LTD/REF0100000123,1397.37,debit,2155785.68
2026-03-27,UPI/DR/bigbasket@hdfcbank/SUPERMARKET GROCERY SUPPLIES/REF0100000107,1549.87,debit,2154235.81
2026-03-28,UPI/DR/blinkit@icici/BLINKIT COMMERCE PVT LTD/REF0100000116,2872.73,debit,2151363.08
2026-03-31,INT CR/HDFC0009876/SB INTEREST CREDIT MAR2026/REF0100000174,2204.20,credit,2153567.28
2026-04-01,NEFT CR/UTIB0001234/FLEXILOANS TECHNOLOGIES PVT LTD/SAL/APR2026/REF0100000006,105206.80,credit,2258774.08
2026-04-03,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000151,1389.98,debit,2257384.10
2026-04-05,NACH DR/HDFC0001234/HDFC BANK LIMITED/HOME LOAN EMI APR2026/MANDATE0001234/REF0100000012,32450.00,debit,2224934.10
2026-04-05,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000152,1498.85,debit,2223435.25
2026-04-07,UPI/DR/uber@indus/UBER INDIA SYSTEMS PVT LTD/REF0100000132,1670.26,debit,2221764.99
2026-04-07,UPI/DR/zomato@icici/ZOMATO LIMITED/REF0100000137,917.36,debit,2220847.63
2026-04-08,UPI/DR/swiggy@ibl/SWIGGY ONLINE ORDERING PVT LTD/REF0100000140,3132.90,debit,2217714.73
2026-04-08,UPI/DR/phoneperecharge@ybl/PHONEPE PRIVATE LIMITED/REF0100000142,251.75,debit,2217462.98
2026-04-08,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000143,1641.10,debit,2215821.88
2026-04-08,UPI/DR/amazon@apl/AMAZON SELLER SERVICES PVT LTD/REF0100000149,2520.32,debit,2213301.56
2026-04-08,UPI/DR/uber@indus/UBER INDIA SYSTEMS PVT LTD/REF0100000150,3134.15,debit,2210167.41
2026-04-09,POS DEBIT/CROMA RETAIL INFINITI/MUMBAI MH/REF0100000148,1737.32,debit,2208430.09
2026-04-10,ECS DR/KKBK0001234/BAJAJ FINANCE LIMITED/PERSONAL LOAN EMI APR2026/MANDATE0005678/REF0100000018,14812.00,debit,2193618.09
2026-04-10,UPI/DR/swiggy@ibl/SWIGGY ONLINE ORDERING PVT LTD/REF0100000131,1119.25,debit,2192498.84
2026-04-11,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000153,292.95,debit,2192205.89
2026-04-13,UPI/DR/dunzo@kotak/DUNZO DIGITAL PVT LTD/REF0100000130,2185.06,debit,2190020.83
2026-04-14,NEFT DR/HDFC0001234/0001234567/RAJESH KUMAR/RENT NOV2025/REF987600,8000.00,debit,2182020.83
2026-04-14,UPI/DR/rummycircle@yesbank/HEAD DIGITAL WORKS PVT LTD/REF0100000180,4000.00,debit,2178020.83
2026-04-15,UPI/DR/paytmmall@paytm/PAYTM E-COMMERCE PVT LTD/REF0100000133,2794.58,debit,2175226.25
2026-04-15,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000145,2920.55,debit,2172305.70
2026-04-15,NACH DR/HDFC0001234/BEST ELECTRIC SUPPLY UNDERTAKING/ELECT BILL APR2026/REF0100000165,2971.75,debit,2169333.95
2026-04-16,UPI/DR/amazon@apl/AMAZON SELLER SERVICES PVT LTD/REF0100000138,1637.52,debit,2167696.43
2026-04-16,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000147,2952.33,debit,2164744.10
2026-04-17,UPI/DR/uber@indus/UBER INDIA SYSTEMS PVT LTD/REF0100000135,399.38,debit,2164344.72
2026-04-18,UPI/DR/dunzo@kotak/DUNZO DIGITAL PVT LTD/REF0100000146,2623.30,debit,2161721.42
2026-04-20,UPI/DR/airtel@icici/BHARTI AIRTEL LIMITED/REF0100000166,699.00,debit,2161022.42
2026-04-21,UPI/DR/rapido@yesbank/ROPPEN TRANSPORTATION SERVICES/REF0100000139,1770.77,debit,2159251.65
2026-04-23,ATM NWD/HDFC0001234/HDFC BANK ATM ANDHERI WEST MUMBAI/REF0100000172,3000.00,debit,2156251.65
2026-04-25,UPI/DR/bookmyshow@kotak/BIGTREE ENTERTAINMENT PVT LTD/REF0100000136,848.27,debit,2155403.38
2026-04-26,POS DEBIT/MAKEMYTRIP INDIA PVT/GURGAON HR/REF0100000134,370.00,debit,2155033.38
2026-04-26,UPI/DR/uber@indus/UBER INDIA SYSTEMS PVT LTD/REF0100000144,3329.14,debit,2151704.24
2026-04-27,UPI/DR/swiggy@ibl/SWIGGY ONLINE ORDERING PVT LTD/REF0100000154,3010.02,debit,2148694.22
2026-04-28,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000141,2742.20,debit,2145952.02
